SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,적색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,녹색등화/녹색화살표,43,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,적색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
65,3,녹색등화/녹색화살표,18,,,,,,,,,,,,,,,,,,,,,,,,,
65,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
65,3,적색등화,103,,,,,,,,,,,,,,,,,,,,,,,,,
66,3,녹색등화/녹색화살표,18,,,,,,,,,,,,,,,,,,,,,,,,,
66,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
66,3,적색등화,106,,,,,,,,,,,,,,,,,,,,,,,,,
67,3,녹색등화/녹색화살표,18,,,,,,,,,,,,,,,,,,,,,,,,,
67,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
67,3,적색등화,106,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,녹색등화,23,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,적색등화,93,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,녹색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,적색등화,24,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,황색등화,22,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,황색등화,92,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
