City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 1163-26,84,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 1163-26,85,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 941-2,86,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 941-2,87,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 1163-26,88,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 1163-26,89,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 1011-2,90,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 1011-2,91,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 1163-9,92,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 1163-9,93,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 괴정리 711-7,94,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 겸면 괴정리 711-7,95,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 괴정리 888-3,96,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 겸면 송강리 722-2,97,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 칠봉리 654,98,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 칠봉리 654,99,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 칠봉리 33-3,100,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 겸면 현정리 212-2,101,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 가정리 1-2,102,,,,,,,,,,,,,,,,,,,,,,
